b6d8a2f17a7045a698a2f17a70e5a682: cold
29aa23821cfb4034aa23821cfb7034b6: warm
e31e2fc24ecf4f449e2fc24ecf8f4405: warm
d5ac3bc125c847feac3bc125c827fe1c: warm
4555652cdcb9413295652cdcb9f1321f: warm
2f030500d10745d4830500d107c5d45b: warm
17ba291f2a754cc6ba291f2a75acc69c: warm
cb9ef148f7394d419ef148f739bd4141: warm
dc9b6652311e4a6e9b6652311eda6ec2: warm
85aee6301d7b44abaee6301d7b54ab16: warm
9bbeb2e291e849c1beb2e291e829c193: warm
898a4d8d63234b3e8a4d8d63239b3ee4: warm
cff56bf5634244ebb56bf56342f4ebfa: warm
257e41d212db46bfbe41d212db56bf33: warm
bb9673d1071044bc9673d1071044bce3: warm
b934ab6e9a7645d1b4ab6e9a7675d1ef: warm
fb07404b301f48ef87404b301ff8ef04: warm
1bf629d7663e4042b629d7663ec04299: warm
e596ea1d2df948a596ea1d2df948a5df: warm
eed372615354410f9372615354010f34: warm
503a430e8d7b4b79ba430e8d7b9b7906: warm
5630f3f21d464fe2b0f3f21d464fe267: warm
e0474fafdb1e4922874fafdb1e292205: warm
2941c6f7ff5642b181c6f7ff5622b1c2: warm
9a690c101e5e420da90c101e5eb20d23: warm
3b7ba7d851774594bba7d851773594af: warm
c0584ceaff7a4b9c984ceaff7a6b9cc2: warm
63308a310e244319b08a310e2413192a: warm
b9368b26c56a421bb68b26c56a321bd9: warm
0847a0510ef6479b87a0510ef6c79b24: warm
a4b2f63a9af14ef8b2f63a9af1cef859: warm
0ebce2aa6d1a4412bce2aa6d1a941281: warm
077dd734e75042b5bdd734e75002b580: warm
d9728ce10e634d38b28ce10e63ad3859: warm
b069dc59992740fca9dc599927d0fcb9: warm
bb545eb40db74f37945eb40db75f37f9: warm
ef371633659e4f07b71633659ecf0720: warm
5cf36d3fc8a441d5b36d3fc8a471d55f: warm
37418276204d43c5818276204d13c5b5: warm
979b456b67a441089b456b67a4b1083c: warm
af22e16b01774174a2e16b0177d17469: warm
c5848a987e254fdc848a987e250fdc99: warm
0f338912dfaf46f8b38912dfafd6f8fa: warm
cb5209a22e1b41b89209a22e1be1b85c: warm
32113e3f54a74781913e3f54a74781ae: warm
2643f9463a4f4bbd83f9463a4fbbbdaa: warm
98a10fef3f5a4a6da10fef3f5aea6d3a: warm
b95e57bafd3e4e7e9e57bafd3eae7ead: warm
33e6405843324a6fa6405843321a6f10: warm
28ed8c1281844201ad8c128184c2015d: warm
9ad0507594284eef9050759428beefb5: warm
58f3484776bc4d67b3484776bcdd67b6: warm
f0cbe4680b1045c48be4680b1035c49b: warm
0a31038c4ae94c03b1038c4ae90c032b: warm
e29fe248af6643829fe248af66c3820e: warm
af837a14e0b1459f837a14e0b1059f18: warm
4a5b9eaf0f4843639b9eaf0f48e363cc: warm
8bdd69f6bed349739d69f6bed31973b9: warm
2d80c0bb1ccf4d3f80c0bb1ccfbd3f65: warm
e46e036987ef46ecae036987efd6ecd9: warm
4b5662073d6c4d7e9662073d6c0d7ee0: warm
acb0bbbd5ac44091b0bbbd5ac4309118: warm
520035d5977249d08035d59772e9d0b9: warm
fe04280fbef04b9684280fbef02b96eb: warm
e23278d946a74e26b278d946a74e26fd: warm
c94f872377ad406a8f872377ad506a5b: warm
031b8841623448879b88416234c887d3: warm
f94f494ec8e944ec8f494ec8e954ecd2: warm
48655d172ab34319a55d172ab313198a: warm
e3d94ec858f54592994ec858f585929f: warm
bbe5059ec66c41d7a5059ec66ce1d7e0: warm
d1c3b815881c4ff683b815881c3ff600: warm
096c86b60728411fac86b60728311f91: warm
735ce78b630942289ce78b630952286a: warm
bff9a59b570449dcb9a59b570459dcca: warm
fd2f9bff3b574222af9bff3b57522218: warm
ac70eb526bad476fb0eb526badf76fab: warm
1897b4f3a59c473997b4f3a59cd7391c: warm
1ab4c40516744bfbb4c40516748bfb2b: warm
c4a7be28ee724429a7be28ee720429cd: warm
765fad95e6aa4e449fad95e6aa8e44e3: warm
60002e53cada4f59802e53cada3f59a4: warm
951facf199a849519facf199a8e95157: warm
0c40109fdbf94ed080109fdbf91ed0ab: warm
ea7de152fec243a4bde152fec2d3a404: warm
3c843640a0504dbe843640a050bdbece: warm
d5724cb5e82844abb24cb5e82884ab83: warm
a0e8ffaaa84e49c0a8ffaaa84ea9c0e5: warm
d7851eb1b17d48fb851eb1b17dc8fba2: warm
f8941efb38d94bd9941efb38d9ebd957: warm
e7c2f9ba9d5942dc82f9ba9d5932dc57: warm
e0e42b74aa1c4285a42b74aa1cd285e5: warm
f077e316666d4828b7e316666d78285b: warm
f9826dbc6ad74ec9826dbc6ad76ec987: warm
886e6f01e8344ac1ae6f01e8343ac133: warm
e01c57d6f7794e129c57d6f7790e12fa: warm
9cd33d953c034b7a933d953c03eb7ae0: warm
c16cddcbc8304a3eacddcbc8305a3e4e: warm
661708a7e7f54f139708a7e7f58f1311: warm
a4479d7d1374444a879d7d1374344af1: warm
7e83a85a0beb4f8283a85a0beb5f8213: warm
600287468f8c416d8287468f8ce16d14: warm
53ca7a3d1c9c4a2c8a7a3d1c9c0a2c5e: warm
c9634804efb948a3a34804efb988a35c: warm
257f353de48e456abf353de48e856af8: warm
c3899b0c981a435e899b0c981a435e4b: warm
5c4bdc29fbb04f378bdc29fbb0af372b: warm
fc1cff64f9a84d399cff64f9a8bd3974: warm
5bb7a832605748aab7a832605748aabc: warm
e7ff50b009134f58bf50b00913bf58b6: warm
c69eae68429b4ddc9eae68429b3ddcbc: warm
1ae8323c7876471ba8323c7876c71bcf: warm
5fdb0a2b31db46d09b0a2b31dbf6d09c: warm
44b47840ff2345eab47840ff2325ea0a: warm
81ce26d6895a40668e26d6895ae06670: warm
6bc5ab6e3e85455e85ab6e3e85755e81: warm
aa61cca64ec24cb9a1cca64ec29cb918: warm
9c34b53168fb4ae2b4b53168fb8ae279: warm
