4630eefdfbae43adb0eefdfbaed3ad0e: cold
2c1e9257b6e049139e9257b6e0c91370: warm
862d004e03ff40b3ad004e03ff30b32d: warm
d0edcdcf2cbd43abadcdcf2cbd23ab90: warm
79378e62da5c4fa1b78e62da5ccfa1cb: warm
983f040fa68e4cdebf040fa68e0cdec1: warm
d48b97573b2e40f28b97573b2e50f2aa: warm
c24834868b6c438e8834868b6ca38e9c: warm
c52d40afaae241a6ad40afaae2b1a658: warm
f72cbad7dd8141c1acbad7dd81f1c1ce: warm
d5aa99dd0f264fecaa99dd0f264feca6: warm
bd90c9b315b4495290c9b315b46952ec: warm
cce4ac3ef27d4349a4ac3ef27d334976: warm
645fda5c244f48c29fda5c244fe8c275: warm
e78210571acb44978210571acb949734: warm
2a805fe6b61440e4805fe6b61400e45e: warm
6632996a075447a2b2996a075427a23b: warm
31e1a1b9f7d143f8a1a1b9f7d153f811: warm
119f9c422e0a48099f9c422e0a2809e9: warm
27818545b5104067818545b510d0678f: warm
bc73f45539ab4fdeb3f45539abcfde40: warm
328246ace2e0425d8246ace2e0625d74: warm
512958982ade40b7a958982ade50b77c: warm
421077a4822942bf9077a4822982bf86: warm
7dee6f9f7ea94496ae6f9f7ea9f49643: warm
2e531fcd680347c9931fcd680357c93d: warm
30719549a47b48ffb19549a47b68ff1b: warm
67b0e067f46a4f05b0e067f46a3f0594: warm
10d8678a785f40be98678a785fa0be70: warm
343433b75c8f4c5ab433b75c8fbc5a21: warm
603a86e3e0a24f81ba86e3e0a2ff818d: warm
dd749ddbda644958b49ddbda64c95811: warm
beea2649a8bf4c1aaa2649a8bf5c1ae7: warm
cc668e1262984d1ba68e126298ad1b4f: warm
3ecb1f83d62a43698b1f83d62aa36990: warm
a790078b54ea45d590078b54ea45d50b: warm
